crop,total_queries,unique_queries,total_clusters,clusters_for_85pct,median_cluster_size,algorithm,top_5_topics
Khesari chickling vetch grass pea,973,519,124,10,1,Leiden,"['variety of pea crop', 'information about weather forecast of block ranipur in district jhansi', 'tell me about weather information', 'mausam ki jankari  ke liye', 'chana pila ho rha hai']"
fodder maize ,962,763,123,5,1,Leiden,"['information about maize fodder crop', 'chari ki phasal me saphed kida laga hai', 'weather information', 'information about weather forecast of blocksadabad in district hathras', 'makke ka seed rate']"
Rajma french bean,960,673,97,4,1,Leiden,"['information about rajma crop', 'rajma ki bubai kab ki jati hai', 'information about sowing time of french bean crops', 'information about weather', 'pusa ka help line no']"
Castor Rehri Rendi Arandi ,953,445,159,30,1,Leiden,"['tell me about weather information', 'information regarding to varieties of castor crop', 'mausam ki jankari', 'arandi ki thi krni hai', 'information of seed registration']"
Sandal Wood,929,681,106,5,1,Leiden,"['information about sandalwood cultivation', 'chandan ki kheti ki jankari de', 'informetion about cimap lucknow contact number', 'information about cultivation of chandan tree', 'central institute of medicinal and aromatic plants']"
POULTRY  FARM,926,419,11,2,1,Leiden,"['murgi palan karna hai', 'poultry farm ki jankari krne ke liye', 'poultry me disease lagi hai', 'where from get loan  project on poultry', 'can we apply glucose in drinking water of chicken']"
Mosambi,912,760,111,4,1,Leiden,"['information about control of fruit and flower drop in mosambi', 'mosambi ka phal gir raha hai', 'farmer is asking about weather information', 'information about of cultivation in musammi crop', 'gross in wheat']"
Sesame (Gingelly/Til)/Sesamum,888,262,32,2,1,Leiden,"['provide information about sowing time of sesame crop', 'farmer asked query on weather', 'til ki mukhy kisme kaun kaun si hai', 'information about till variety', 'information about crop insurance claim related query']"
Teak,881,739,141,17,1,Leiden,"['teak plant information', 'sagaun ki pattiya kde kha rahe hai', 'termite control in teak plant', 'asking about weather information', 'information about chandan plants']"
Curry Leaf,873,724,204,74,1,Leiden,"['kaddo ke pattiyo me kali pad rahi hai phal gir rhe hai', 'mausam ki jankari ke liye', 'insect control of cucurbits', 'insect control in kheera', 'kheera ki varity']"
Orange,847,745,115,6,1,Leiden,"['information about fruit dropping control of orange', 'santara ka phul gir raha hai', 'information about plant protection in kinnu plant', 'tell me about weather information', 'information about varieties of papaya']"
Cluster Bean,839,677,157,32,1,Leiden,"['provide information regarding the sowing of cluster bean crop', 'guar  me khar patvar hai', 'information regarding guar crop variety', 'asking about weather information', 'varity of wheat']"
Peach,820,699,80,2,1,Leiden,"['information about the plant protection  in peach', 'peach ka fal gir raha hai', 'termite control in peach fruit', 'horticulture department information', 'information about weather forecast of block kalyanpur in district kanpur nagar']"
Horse Gram kulthikultha,811,389,166,45,1,Leiden,"['tell me about weather information', 'chane me ki kidelag rahe hai', 'mausam ki jankari chahiye', 'information about horse gram crop', 'information of seed registration']"
ARUM ,810,455,159,39,1,Leiden,"['weather information', 'mausam ki jankari', 'arvi ki tatti pili ho rhi hai', 'information about arum arvi  crops cultivation', 'fungas in']"
Broccoli,805,593,181,61,1,Leiden,"['information about cultivation about broccoli', 'broccoli ki kheti karana chahate hai', 'weather information', 'manure in paddy', 'insect problem']"
"Bovine(Cow,Buffalo)",800,370,72,3,1,Leiden,"['information about disease management of cow', 'information about contact number of animal husbandry', 'information related to nandini krishak samridhi yojana', 'pashu sambandhit jankari ke lie kahan sampark kare', 'information regarding uttar pradesh kamdhenu yojana']"
Fennel,775,539,107,6,1,Leiden,"['information about fennel crops', 'sauf ki kheti ke vishay me jankari chahiye', 'asking about weather information', 'information about weather forecast of block husainganj in district fatehpur', 'saunf ki variety']"
Stevia,740,596,131,20,1,Leiden,"['information about of stevia cultivation', 'stevia ki kheti ki jankari', 'give information about medicinal plants', 'information about contact number of cimap lucknow', 'information about saffron cultivation']"
Cold Water,738,444,74,3,1,Leiden,"['information about fisheries fish farmig', 'machhali palan ke liye jankari den', 'weather information', 'fungas in potato', 'fishes are dying in pond']"
Sudan Grass,733,548,79,5,1,Leiden,"['informtion about sudan grass', 'sudan chari me keeda laga hai', 'tell me about weather information', 'information about sorghum seed rate for fodder', 'chari ki variety']"
AmaranthusGrain Amaranthus,732,506,165,56,1,Leiden,"['khira me galn laga hai', 'information of amaranthus crop', 'mausam ki jankarii', 'mosam ke bare batye', 'tell me about weather information']"
Napier Grass,722,579,111,11,1,Leiden,"['provide about information of napier grass', 'napier grass ki jankari de', 'hare chare me mp chari ki buaai kar sakte hai', 'information about fodder crop', 'asking about weather information']"
Soybean (bhat),707,134,14,2,1,Leiden,"['farmer asked query on weather', 'information about cultivation of the soybean crop', 'information about the problem of yellowing in soyabean crop', 'soya been me liquid dawa khad me mila kr kr boye ya spray kre', 'mandi rate of soybean in lalitpur mandi']"
Strawberry,702,545,79,4,1,Leiden,"['information about the cultivation of strawberry', 'strawberry ki kheti ki jankari de', 'please tell me about weather information', 'information about straberry cultivation', 'information about central institute of medicinal and aromatic plants lucknow help line numbers']"
Broad Bean,689,542,200,97,1,Leiden,"['pest management in broad bean', 'keli ki nichali patti pili ho rahi hai', 'mausam ki jankari de', 'asking about weather information', 'manure']"
Sapota,683,559,61,2,1,Leiden,"['information about flower and fruits drop control in sapota', 'chiku ke paudhe me phal phool nahi aa raha hai kya lagaye', 'weather information', 'farmer asked query on weather', 'pomegranate flowers are falling']"
Hibiscus Gurhal,656,568,67,3,1,Leiden,"['information on insect control in hibiscus plant', 'gurhal me kida laga hai', 'insect control in gurhal plant', 'asking about weather information', 'provide about information of termite problem in hibiscus  gulhal  flower plant']"
Little Millet SamaiKutkikodo-kutki,639,359,107,18,1,Leiden,"['tell me about weather information', 'mausam ki jankari ke liye', 'information about sowing time of kharif maize crop', 'information about weed control in maize crop', 'information about weather forecast of block amanpur in district kanshiram nagar']"
Lab Lab,618,506,91,8,1,Leiden,"['information about control of insect in lab lab crop', 'provide information for varieties in lab lab crop', 'sem ki fasal me bhung laga hai', 'asking about weather information', 'sem ki kheti ke bare me jankari chahiye']"
Chapan Kaddu,602,486,116,26,1,Leiden,"['kaddu kala ho raha hai', 'information about insect control in chapan kaddu', 'mausam ki jankari chahiy', 'information about leaf curl disease  control in chillies crop', 'give me about weather information']"
Peas (field peas/ garden peas/matar),593,196,39,3,1,Leiden,"['farmer asked query on weather', 'information about control of pea crop', 'information regarding the market of pea', 'aam ke fal matar ke jaise hokar gir rahe hain', 'farmer asked query on mandi details']"
Dog,591,468,76,4,1,Leiden,"['information  about  of animal dog', 'kutta ka kan bah raha hai', 'information about goat farming', 'asking about weather information', 'cow ka bara me']"
Duck,581,405,73,4,1,Leiden,"['murgi palan ki jankari bataye', 'poultry farmeing information', 'information on duck', 'weather information', 'information about avian help line no']"
Cumin,579,418,84,6,1,Leiden,"['information about the timing of cumin cultivation', 'jeera ki kheti ke bare me jankari chahiye', 'asking about weather info', 'zira ka seed rate kya hai', 'variety of kalonji']"
Italian Millet ThenaiNavaneFoxtail MilletKang,564,224,126,42,1,Leiden,"['tell me about weather information', 'mausam ki jankari chahiy', 'dhan me futa nahi hai', 'plant protection', 'manure in pea']"
White Yam,549,455,99,17,1,Leiden,"['give information about of sowing time yam crop', 'suran ki kheti ka samay', 'information about jimikand', 'farmer asked query on weather', 'information about weather forecast of blockmursan   in districthathras']"
Karan Rai,531,346,113,34,1,Leiden,"['rai ki prajati ki jankari', 'information about weather', 'variety of rai', 'information about in mustard crop', 'information about weather forecast of block shivrajpur in district kanpur city']"
Butter Pea Vegetable,530,399,152,73,1,Leiden,"['matar ki khetiki jankari leni hai', 'information about of pea crop', 'information about weather forecast of block ranipur  in district jhansi', 'manure', 'about weather information']"
Chestnut,502,448,121,46,1,Leiden,"['information for pest control in water chestnut crop', 'neebu ke phal gir ja rahe hai', 'flower droping in fruits', 'farmer asked query on weather', 'about weather information']"
Garden Pea,502,392,87,14,1,Leiden,"['information about in pea crop', 'matar ki pattiyan pili ho rhi hai', 'weather information', 'information  about weather forecast of blocktori fatehpur in district jhansi', 'mausam ki jankari chahiy']"
Koronda,494,323,83,15,1,Leiden,"['kaddu ka phal sad raha hai', 'insect controle in kaddu', 'variety of kaddu', 'gehu ki jankari chahiy', 'disases in kaddu']"
Kodo Millet KodaraVaragu,483,233,111,39,1,Leiden,"['tell me about weather information', 'mausam ki jankari chahiy', 'information about sowing time of kodo crops', 'apki abaj nahi aa rahi hai', 'plant protection']"
Snake Gourd,474,400,116,45,1,Leiden,"['information about insect control in snake gourd', 'seme ki patti pili ho rahi hai', 'toraiya ki jankari chahiy', 'information about weather', 'snake gourd me keeda lagt raha hai']"
Indian Clover Senji Sweet Clover,465,396,141,72,1,Leiden,"['kahu ki kheti ki jankari', 'information about weed control in mentha crop', 'information about medicinal plant', 'cimap contact number', 'asking about weather information']"
Methi Fenugreek,463,394,49,4,1,Leiden,"['information about methi crops', 'about cultivation of fenugreek', 'methi ki kheti ki jankari den', 'tell me about weather information', 'information about weather forecast of block majhgawan in district bareilly']"
Long Melon,455,397,77,12,1,Leiden,"['information about  insect  control in long melon', 'kharbuj me kida laga hai', 'asking about weather information', 'information about insect problem in cucurbits crop', 'kurbhujha ki growth ka liye']"
Safflower kusumkardi,452,364,92,25,1,Leiden,"['sunflower information', 'information about safflower crop duration and yield', 'suraj mukhi ki jankari de', 'asking about weather information', 'sunflawar me khad ki matra']"
"Colocasia (Arvi, Arbi)",443,276,39,3,1,Leiden,"['information about colocasia crop', 'information about arvi crop', 'farmer asked query on weather', 'information regarding seed treatment of arbi', 'information about sowing time of arabi']"
Tapioca Cassava,433,251,73,15,1,Leiden,"['tell me about weather information', 'ganne ka sika shukh raha hai', 'information about weed control in sugarcane', 'mausam ke bare me janna  hai', 'mausam ki jankari chahiye']"
Jojoba,427,152,88,24,1,Leiden,"['asking about weather information', 'mausam ki jankari chahiy', 'ganee me suri ki samasya hai', 'information of seed registration', 'information of crop insurance']"
Apple,425,367,100,37,1,Leiden,"['information about in cultivated apple', 'anar ke phal jhad jate hai', 'information about weather', 'tell me mandi rate of apple', 'farmer asked query on weather']"
Cardamom,420,353,92,29,1,Leiden,"['information about flower dropping control of cardamom', 'dhaniya ki kheti kar sakte hai', 'about weather information', 'information regarding sowing of coriander', 'elachi k pedh s fulo koa girna']"
Lethyrus,418,290,91,29,1,Leiden,"['ganee me suri ki samasya hai', 'dhan ki prajati ki jankari', 'tell me about weather information', 'information about seed rate of pea', 'information about irrigation in pea']"
Brackish,412,231,35,2,1,Leiden,"['give information about fisheries', 'machhali palan ki jankari de', 'weather information', 'insect', 'talab me jal kumbhi ho gai hai kya kare']"
Brussils Sprouts,397,206,127,68,1,Leiden,"['mausam ki jankari chahiy', 'brokali ki variety', 'dhan me kida laga hai', 'tell me about weather information', 'fungas in potato']"
Almond,387,302,101,43,1,Leiden,"['information about control of the flower dropping in almond tree', 'anar ke phal me kida lag jata hai', 'about weather information', 'kisan bhai ko   mausam ki jankari chahiye', 'information about weather forecast of block in jahangir ganj  district amedkar nagar']"
Babool,384,332,116,59,1,Leiden,"['babool ka ped sukh raha hai', 'information about bamboo cultivation', 'asking about weather information', 'information about insect control in babool tree', 'mausham ke bare me']"
Niger Ramtil,379,264,109,53,1,Leiden,"['til ki fasal me kharpatavar hai', 'mausam ki jankari de', 'tell me about weather information', 'toriya ka sowing time', 'information about weed control in niger crop']"
Flying Duck,375,271,53,7,1,Leiden,"['murgi palan ki jankari', 'information related to poultry farming', 'information about duck', 'farmer want contact number of avian research centre', 'animal husbandry department']"
Baby Corn,366,206,136,82,1,Leiden,"['weather information', 'mausam  ki jankari ke liye', 'fungas in', 'bhindi me  keeda laga hai', 'manure in paddy']"
Chrysanthemum,361,225,107,53,1,Leiden,"['weather information', 'information about chrysanthemum', 'guldawadi me phool kam aa rahe hai', 'mausam ke bare me janna  hai', 'information of seed registration']"
Buffel Grass Anjan Grass,358,250,79,26,1,Leiden,"['provide information related to animal husbandry', 'pashu palan sambandhit jankari lena hai', 'information about dairy production', 'tell me weather information', 'tell me about subsidy on dairy milch  animals  by nabard bank']"
Kundru,350,300,53,4,1,Leiden,"['information about kundru crop', 'kundru ki patti sookh rahi hai lkya kare', 'asking about weather information', 'information about weather forecast of block mihinpurwa in district bahraich', 'information about top dressing in kohda crop']"
Olive,346,100,62,13,1,Leiden,"['information about weather', 'dhan ki prajati ki jankari', 'insect', 'mausam ke bare me janna  hai', 'tell me about taking soil sample']"
Coconut,346,310,61,10,1,Leiden,"['plant proection in coconut', 'nariyal ka phal gir rahah hain', 'asking about weather information', 'narial me urverko ki matra', 'nutrient management']"
Dolichos Bean,332,310,96,47,1,Leiden,"['information about insect control in dolichos bean', 'sem me kida laga hai phoolo ka ras kha ja raha hai', 'mausam  ki  jankari  chahiye', 'insect control in sem', 'arbhi ki prajati']"
Bush Squash,332,177,98,49,1,Leiden,"['mausam ki jankari chahiy', 'parwal ki phalee kali hokar gal rhee hai', 'mosam ke bare batye', 'about weather information', 'gross']"
Spine Gourd,325,295,105,57,1,Leiden,"['parvar pila pr ke sukh rha hai', 'cultivation of spine gourd', 'farmer asked query on weather', 'parvar me kit ki dva bta de', 'weather information']"
Bell Pepper,317,236,130,83,1,Leiden,"['about weather information', 'mausam ki jankari ke liye', 'shimla mirch me patti kali ho rahi hai', 'information about bell pepper seed', 'fungas']"
Custard Apple,313,286,97,51,1,Leiden,"['information about the fruit and flower dropping  problem in custard apple', 'anar ka phal gir raha hai', 'about weather information', 'mosam ki jankari', 'nutrient management']"
Leafy Vegetable,295,249,113,69,1,Leiden,"['bhindi ki jankari', 'plant protection of leafy vegetable  crop', 'methi me kida laga hai', 'insect control in palak', 'farmer asked query on weather']"
Cotton (Kapas),293,117,21,2,1,Leiden,"['farmer asked query on weather', 'information about varieties of cotton crop', 'information about npk 05234 spray in cotton crop', 'what type of soil should be there for cotton cultivation', 'mandi price haathras kosikalan  cotton']"
Kiwi Fruit,291,266,78,35,1,Leiden,"['information about cultivation kiwi fruit', 'kiwi ki kheti kab ho sakta hai', 'flower dropping control in kinnow', 'asking about weather information', 'dragon fruit  information']"
China Astor,290,135,94,51,1,Leiden,"['weather information', 'mausam ki jankari', 'information of seed registration', 'fungas in', 'manure in paddy']"
Mulberry,287,235,59,16,1,Leiden,"['information about flower and fruit dropping in mulberry', 'mulberry ka phal gir raha hai', 'gross in wheat', 'mausam ki jankari', 'varity of wheat']"
Fig,286,267,55,13,1,Leiden,"['information about flower and fruit dropping in  fig', 'anjeer ke fal kaale hokar gir rahe hai kya kare', 'asking about weather information', 'mosam ki jankari', 'the exact time of applying the dragon fruit']"
Tumba,275,233,63,22,1,Leiden,"['torai ki pattiyo me kida lag raha  hai', 'tinda  cultivation', 'torai ki prajati  ki jankari de', 'information about tomato', 'torai ka jamaw hoga']"
Jute,274,145,93,52,1,Leiden,"['about weather information', 'guar ktrni hai', 'mausam ki jankari chahiy', 'information of seed registration', 'variety of jute']"
Sal Wood,273,247,109,69,1,Leiden,"['pakar ka ped sookh raha hai', 'information about in sal wood', 'provide information regarding sandalwood cultivation', 'plant availability information of mahogany', 'information about control for termite in rosewood plant']"
Ivy Gourd,271,246,77,37,1,Leiden,"['information about insect and fungus control in ivy gourd', 'parval me phool nahi aa rahe hai', 'farmer asked query on weather', 'give information about lvy gourd variety', 'information about weather forecast of block gonda  in district  aligarh']"
Periwinkle,268,243,108,68,1,Leiden,"['akrkara ki kheti ki jankari de', 'information of ashwagandha crops', 'information about cimap lucknow contact number', 'information regarding medicinal plants', 'sowing time of lemon grass']"
Betel Vine,263,248,91,52,1,Leiden,"['information about betel  vine cultivation', 'kahu ki kheti ki jankari', 'pan ke paudhe ko kida kat raha hai', 'farmer asked query on weather', 'information of medicinal plant']"
Jasmine,262,233,81,42,1,Leiden,"['provide information regarding pest control in jasmine plant', 'bela ki pattiya pili ho rahe hai', 'information about insect control in jasmin plant', 'asking about weather information', 'jarbera ke kheti ke bare me jankari']"
Chinese Cabbage,253,218,118,81,1,Leiden,"['chikori ke lagane ka kya samay hai', 'mausam ki jankari chahiy', 'fungas', 'information of weather', 'pest in chilli']"
Moth Bean kidney bean deww gram,244,208,111,75,1,Leiden,"['matar me pattiya pili apd rhi hai', 'matar ki jankari ke liye', 'asking about weather information', 'information about insect control in bean crop', 'rajma sowing time  seed rate']"
Turkey,242,212,39,7,1,Leiden,"['murgi palan ki jankari', 'i want to poultry farming related information', 'provide information about the contact details of central avian research institute', 'information of beekeeping', 'asking about weather information']"
Caleus,240,223,105,69,1,Leiden,"['kahu ki kheti ki jankari', 'information for medicinal plant', 'about weather information', 'lucknow cimap  ka number', 'information about lemon grass cultivation']"
Turnip Saljam,239,212,76,41,1,Leiden,"['information about turnip crop', 'tinda ki prajati', 'haldi ki patti ki pili pad rahi hai', 'insect control in turnip', 'muli  me kida lag raha hai']"
Gerbera,238,209,103,68,1,Leiden,"['information about gerbera cultivation', 'gudhal me kida laga hai', 'mausam ki jankari chahiy', 'about weather information', 'kida marne ki dawa']"
Carnation,236,152,108,73,1,Leiden,"['asking about weather information', 'mausam ki jankari', 'varity of wheat', 'malti ka  paudha pial pad raha hai', 'insect in flower']"
Greater Yam,236,219,98,63,1,Leiden,"['khira  pila pad raha hai', 'sabji ki jankari ke bare me jankari ke liye', 'information about seed rate for elephant yam crop', 'information about time of sowing of suran crop', 'farmer asked query on weather']"
Honey plant,234,191,94,59,1,Leiden,"['honey bee palan ki jankari', 'information about planting time for palmarosa medicinal crop', 'informetion about cimap lucknow contact number', 'information about planting time for mahogani plant', 'farmer asked query on weather']"
Rajmash Bean,232,202,57,23,1,Leiden,"['information about sowing time of rajma crop', 'rajma ki buwai karne ki samay ki jankari de', 'asking about weather information', 'lobiya me kit laga hai', 'varity of wheat']"
Smooth Guard,230,203,90,56,1,Leiden,"['torai ka phal khrab ho raha hai', 'smooth gourd ka phol jhad raha hai', 'information about control of sucking type insect in smooth gourd crop', 'cultivation of smooth guard', 'improved varieties of ash gourd crop']"
Indian Squash TindaRound Melon,229,212,60,26,1,Leiden,"['plant proection in tinda crop', 'tinda me ghaas ho rahi hai kya kare', 'information about pest management in indian squash crop', 'farmer want to weather information', 'information about sowing time in round gourd']"
Pear,224,203,38,9,1,Leiden,"['information about planting of pear', 'pear ka phul gir raha hai', 'anar ki jankari', 'information about weather forecast of blocktanda in districtambedkar', 'control of flower dropping in lemon']"
Indian Bean Vegetable,217,201,90,58,1,Leiden,"['tell me pest control in indian bean', 'sem me kida laga hai ful nahi ruk raha hai', 'farmer is asking about weather information', 'kheti ki jankari chahiy', 'information about weather forecast of block mahewa  in district jalaun']"
Drum Stick,212,192,77,46,1,Leiden,"['information about drum stick cultivation', 'information about obtaining moringa plants', 'sahjan ka paodha sukh rha hai', 'suran ki prajatiya', 'sahjan ki kheti ke bare me jankari den']"
Apricot,208,173,65,34,1,Leiden,"['anar ke phal me kida laga hai', 'flower droping in apricot', 'mausam ki jankari chahiy', 'weather information', 'farmer asked query on weather']"
Clove,201,149,62,32,1,Leiden,"['information about clove plant', 'lesun ki patti pili ho kar sikhud rahi hai', 'nutrient ki deficiencey', 'asking about weather information', 'sowing time in ajwaine']"
Pepper,199,175,66,37,1,Leiden,"['kali mirch ki kheti kar sakte hai', 'information about black pepper cultivation', 'information about cultivation of black paper', 'information about production of lotus root by traditional method', 'information about helpline number of horticulture department']"
Pineapple,199,177,44,15,1,Leiden,"['information about pineapple', 'anar ka phal gir raha hai', 'pineapple ki kheti kar sakate hai', 'flower dropping in pomegranate', 'flower dropping in anaar fruit']"
Barley (Jau),196,106,23,3,1,Leiden,"['give information about weed control of barley crops', 'farmer asked query on weather', 'information about problem of yellowing in barley crop', 'information about weed medicine is causing harm what should be the treatment', 'information about bare slug  in barley jau']"
Spinach (Palak),192,94,24,3,1,Leiden,"['information about the variety of spinach crop', 'farmer asked query on weather', 'palak nhi ugi hai', 'information about use of sagarika in spinach crop', 'give information about spray foam dose of npk']"
Plum,189,170,69,41,1,Leiden,"['information about control of the flower dropping in plum', 'jaman ma phal nahi aa raha hai', 'provide information about date palm cultivation', 'information about of  beekeeping and dbt', 'give the information about weather forecast']"
Ash Gourd (Petha),185,117,17,2,1,Leiden,"['give information on the variety of ash gourd crops', 'farmer asked query on weather', 'petha ki fasal me udane wale keet ke niyantran ke lie kya kare', 'information about relief fund from government for crop damage due to hailstorm', 'information about availability of planting material of papaya']"
Jatropha Ratanjot,173,130,64,39,1,Leiden,"['jatropha ka planting time ki jankari', 'jetropha sowingplanting seasion', 'neem ke paudhe se gond nikala raha hai', 'kanak champa ka poda badwar nahi ho rahi hai', 'plant protection related information center batao']"
Avacado,173,152,73,48,1,Leiden,"['anar ka phal gir raha hai', 'plant protection in avacado crop', 'mausam ki jankari', 'weather information', 'information about control of fruits dropping in coconut']"
Raya (Indian Mustard),171,59,17,4,2,Leiden,"['farmer asked query on weather', 'information about irrigation in raya mustard oilseeds', 'information about control of aphid and white blister disease in mustard crop', 'tell about weather information of raya in mathura district', 'provide information to diagnose the problem of rot in mustard crop']"
Mochai lab-lab,171,118,76,51,1,Leiden,"['about weather information', 'mausam ki jankari chahiy', 'guar pili ho rhi hai', 'ganee me suri ki samasya hai', 'mausam ke bare me janna hai']"
Crossandra,171,103,74,49,1,Leiden,"['asking about weather information', 'mausam ki jankari chahiy', 'information about plant protection in flower', 'mausam ke bare me janna  hai', 'gudhal ka phool me kide lag rahe hai']"
Loquat,163,157,51,27,1,Leiden,"['aadu ka phal gir  raha hai', 'information about pest management and disease management in mango plants', 'information about loquat planting', 'nariyal ki jankari', 'information about the control of stem borer in mango']"
Cymbidium,157,123,86,63,1,Leiden,"['asking about weather information', 'mausam ke bare me janna hai', 'mausam ki jankari chahiy', 'abaj nahi aa rahi hai', 'phool me kide lage hai']"
Summer Squash Vegetable Marrow,156,150,79,56,1,Leiden,"['kadhu me patta pila ho raha hai', 'information about sowing time of summer squash', 'information about fertilizer application in squash melon crop', 'suran ki kheti ki jankari', 'disease problem in tinda crop']"
Winged Bean,154,132,70,47,1,Leiden,"['soyabean ki jankari ke liye', 'information about weather', 'guar me faliya nahi aa rahi hai', 'mater me phodhe sukh rhe hai', 'information about sowing time for ramdana crop']"
Guineafowl,149,127,35,13,1,Leiden,"['murgi palan ki jankari', 'information about poultry farming', 'ivri ka no', 'information about quail farming', 'asking about murgi  palan']"
Anthurium,145,120,100,79,1,Leiden,"['gudahal me keede lag rahe hain', 'mausam ki jnakari', 'weather information', 'varity of wheat', 'gross in maize']"
Rabbit,142,129,35,14,1,Leiden,"['rabbit khargosh palan karana hai', 'information about in rabbit', 'information regarding protection against skin diseases on the nose and mouth of rabbits', 'farmer asked query on weather', 'disease management in cow animal']"
Walnut,142,123,75,54,1,Leiden,"['farmer is asking about weather information', 'singhada ki bel me lal keeda lag raha hai', 'walnut cultivation information', 'disease management in water chestnut crop', 'vari of wheat']"
Ribbed Gourd (Kali Tori),142,108,15,3,1,Leiden,"['information about of insect management in ribbed gourd crop', 'farmer asked query on weather', 'give information about of  nutrient management in kali tori crop', 'taroi ki fasal me keet ke niyantran ke lie kya kare', 'information about sowing of satputia']"
Goose,135,119,45,25,1,Leiden,"['murgi palan ki jankari', 'information about poultry farming', 'weather information', 'fish information', 'avian research']"
Roselle Mesta,131,86,65,46,1,Leiden,"['asking about weather information', 'mausam ki  jankari  chahte hai', 'information of seed registration', 'kachari me kida laga hai', 'decha lagana hai']"
Celery,130,98,60,41,1,Leiden,"['celery farming information', 'asking about weather information', 'information of seed registration', 'mausam ki jankari', 'dhaniya ki fal sukh rha hai']"
Palmyra,127,120,82,63,1,Leiden,"['sisam ki patti pili par rahi hai', 'information about control of termite insect in bottle palm plant', 'asking about weather information', 'information about advantage of peepal tree', 'papular ke kheti ke bare me jankare']"
Sheep,127,103,39,20,1,Leiden,"['pashu palan ki jankari', 'farmer asked query on weather', 'information about sheep farming', 'sheep bimar hai', 'suar palan ke bare me']"
Camel,127,104,50,31,1,Leiden,"['pashupaln ki jankari', 'bhais ke beli nikal rahi hai', 'contact number of animal helpline', 'gay ko kutte ne kat liya hai', 'animal ki problem hi']"
Yard Long Bean,125,110,66,48,1,Leiden,"['give information for pest management in the yard long bean crop', 'suran ki kheti ki jankari', 'elephant yam varieties', 'give information about cultivation of suran', 'asking about weather information']"
Chinar Tree,123,117,71,53,1,Leiden,"['chandan ki kheti ke bare me jankari lena hai', 'insect control in the chinar tree', 'information about improved cultivars of bamboo', 'weather information', 'dhan me pila pan hai kira laga hai']"
Indian rapeseed and mustard (yellow sarson),123,40,9,2,1,Leiden,"['farmer asked query on weather', 'information regarding irrigation in mustard crop', 'information about the control of blight in crop', 'information about nutrient management in musturd crops', 'information regarding the market price of mustard']"
Knol-Khol,121,111,71,53,1,Leiden,"['kirra me phal kam aa raha hai', 'farmer asked query on weather', 'information about to control sucking pest and caterpillar in potato crop', 'give information about root rot control in knolkhol', 'kaddu ki verty']"
Cinnamon,119,98,75,58,1,Leiden,"['asking about weather information', 'jire ki buaai ki jankari', 'mausam ke bare me janna hai', 'information about cinnamon', 'saumf me mahu lag rahi hai']"
Lilliums,119,106,74,57,1,Leiden,"['lili ki kheti ki jankari chahiye', 'information about lotus cultivation', 'information about horticulture department', 'pool ki samsaya ke liye', 'disease in flower']"
DatePalm,114,109,56,39,1,Leiden,"['maniplant ki patti kali hokar suk rahi hai', 'information about cultivation of date palm', 'asking about krishi vigan kendra', 'dry of ashok plant', 'haldi ke khet me  khar patwar ki rok tham keliye']"
Hazlenut,113,97,54,38,1,Leiden,"['nariyal ka phal gir raha hai', 'mausam ki jankari', 'about weather information', 'information about cultivation of dragan fruit', 'ganee me suri ki samasya hai']"
Arecanut,110,89,70,54,1,Leiden,"['asking about weather info', 'poudha sukh rha hai kya kare', 'baansh ke phaodh me phool aa rhe hai', 'plant protection', 'maaken me banari ghass se bachaw']"
Horse,108,102,52,36,1,Leiden,"['ghoda mitti kha raha hai', 'murgi palan ki jankari', 'horse information', 'horse ko pesab 2 din se nhi a rhi hai', 'pash ki samasya hai']"
Tuberose,105,102,54,39,1,Leiden,"['need information related to tuberose cultivation', 'rajnigandha ki variety bataye', 'tuberose ki kheti ki jankari', 'information about lotus cultivation', 'rajnigandha ki spacing']"
