QueryText,Count,Proposed_Category
TEST CALL,74,Irrelevant/Noise
HOW WE CAN COLLECT SOIL SAMPLE,38,Crop Protection & Inputs
gaay ka dudh kam ho raha hai,25,Animal Husbandry
FARMER WANT INFORMATION ABOUT WHERE CAN GET BEE BOX,21,Animal Husbandry
CALL DISCONNECTED,19,Irrelevant/Noise
HOW TO ERADICATE GRASS IN AN OPEN FIELD,19,Unclassified
INFORMATION REGARDING SOWING TIME OF ALOEVERA ,17,Unclassified
INFORMATION REGARDING CONTROL OF MITES IN HONEY BEES,16,Animal Husbandry
Farmer asked query on Weather,16,Weather & Climate
INFORMATION REGARDING KISSAN CREDIT CARD,15,Government Schemes
PASHU DUDH KAM DE RAHA HAI,14,Animal Husbandry
INFORMATION REGARDING CONTROL OF CUT WORM IN SOIL,14,Crop Protection & Inputs
INFORMATION REGARDING HOW TO TEST BORDEAUX MIXTURE,13,Irrelevant/Noise
INFORMATION REGRDING SHORTAGE OF DAP,13,Crop Protection & Inputs
INFORMATION REGARDING CONTROL OF TERMITES IN ORCHIDS,13,Unclassified
INFORMATION REGARDING SUBSIDY OF TRACTOR ,13,Government Schemes
about emu bird,12,Animal Husbandry
INFORMATION REGARDING KISSAN CREDIT CARD ,12,Government Schemes
FROM WHERE I CAN HAVE THE POPULAR TREES,11,Unclassified
bhains dudh kam de rahi hai,11,Animal Husbandry
HOW TO CONTROL APHIDS IN TULSI,11,Unclassified
gaay ke sharir me athali hua hai,11,Unclassified
INFORMATION REGARDING SOIL TEST ,10,Crop Protection & Inputs
ASKING ABOUT THE CONTROL MEASURE TO CONTROL DAMPING OFF DISEASE INFESTATION IN HIS FLOWER NURSERY FIELD,10,Crop Protection & Inputs
poultry,10,Animal Husbandry
INFORMATION REGARDING CONTROL OF TERMITE IN LAWN,9,Unclassified
INFORMATION REGARDING SOWING TIME OF ASHWAGANDA,8,Unclassified
INFORMATION REGARDING TRANING OF VERMICULTURE,8,Unclassified
emu rearing,8,Animal Husbandry
hen production,7,Animal Husbandry
information regarding emu bird,7,Animal Husbandry
INFORMATION REGARDING SOWING TIME OF BABY CORN,7,Unclassified
information regarding emu,7,Animal Husbandry
test call,7,Irrelevant/Noise
Garden mein paudho mein deemak lag rahi hai,7,Unclassified
INFORMATION REGARDING CONTROL OF BHANG,7,Unclassified
IN4MATION ON EMMU FARMING,6,Unclassified
 INFORMATION REGARDING SOWING TIME OF ALOEVERA,6,Unclassified
INFORMATION REGARDING PLANTING DISTANCE OF ALOEVERA,6,Unclassified
Farmer asked query on Mandi details,6,Market & Prices
WRONG CALL,6,Irrelevant/Noise
HOW TO CONTROL MITES IN COW,6,Animal Husbandry
HOW TO CONTROL WOOLY APHID IN APPLE ORCHARD,6,Horticulture
ASKING THE SEED RATESPACING AND APPROX YIELD OF DHAINCHA ALSO ASKED THE SOURCE OF SEED FOR BUYING,6,Market & Prices
INFORMATION REGARDING WHEARE I GET POULTRY TRAINING,6,Animal Husbandry
Regarding EMU rearing,5,Animal Husbandry
asked about emu birds rearing,5,Animal Husbandry
FARMER WANTS INFORMATION ABOUT COW IS WEEK GIVING LESS MILK,5,Animal Husbandry
INFORMATION REGARDING RECOMMENDED FERTILIZER DOSE FOR 8 YEARS OLD APPLE ORCHARD,5,Crop Protection & Inputs
WET THE ANIMAL SKING AND COAT WITH WATER AND APPLY  ICHGON ON,5,Animal Husbandry
FARMER WANT INFORMATION ABOUT WHERE CAN GET BEE BOX ,5,Animal Husbandry
CALL DISCONNECT,5,Irrelevant/Noise
HOW TO INCREASE MILK PRODUCTION IN COW,5,Animal Husbandry
INFORMATION REGARDING WEATHER TODAY,5,Weather & Climate
FROM WHERE I CAN HAVE THE POPULAR TREES ,5,Unclassified
INFORMATION REGARDING CONTROL OF WEED FROM OPEN FIELD ,4,Crop Protection & Inputs
ghar me chuhe ho rahe hai,4,Unclassified
HOW TO CONTROL RATS IN FIELD,4,Unclassified
FARMER WANTS TO CONTROL OVER TERMITE IN LAWN,4,Unclassified
ghar me gay ka poushtik ahar kaise taair kare,4,Unclassified
ASKING ABOUT KISAN CREDIT CARD,4,Government Schemes
information about emu rearing,4,Animal Husbandry
HOW TO CONTROL STEM BORER IN APRICOT,4,Crop Protection & Inputs
INFORMATION ABOUT EMU REARING,4,Animal Husbandry
EMU FARMING,4,Animal Husbandry
contact no emu farm,4,Animal Husbandry
information about poultry farm,4,Animal Husbandry
to know about the rainfall status in durg dist ,4,Weather & Climate
contact number of poultry farm,4,Animal Husbandry
murgi palan ke bare me bataia,4,Animal Husbandry
HOW  WE CAN COLLECT SOIL SAMPLE ,3,Crop Protection & Inputs
MURGI PALAN KE BARE MEIN JANKARI CHAHIYE,3,Animal Husbandry
BATER PALAN KI JANKARI AUR TRAINING-CENTER,3,Animal Husbandry
murgi palan ke bare mein jankri chahiye,3,Animal Husbandry
murgi palan ke bare me bataye,3,Animal Husbandry
INFORMATION  REGARDING SOWING TIME OF ALOEVERA ,3,Unclassified
murgi palan ki jankari leni hai,3,Animal Husbandry
CONT NO OF EMU REARING PUNE,3,Animal Husbandry
information regarding emu farm,3,Animal Husbandry
DAMPING OFF DISEASE INFESTATION IN HIS FLOWER NURSERY,3,Crop Protection & Inputs
CONTACT NO OF EMU FARMER ASSOCIATION,3,Animal Husbandry
emu farming,3,Animal Husbandry
INFORMATION REGARDING CONTROL LEAF EATING BEETLES IN ALMONDS ,3,Animal Husbandry
PUMP PANI NAHI UTHA RAHA HAI,3,Unclassified
enu birds ki jankari,3,Unclassified
contact no of poultry farm,3,Animal Husbandry
Emu farming,3,Animal Husbandry
Test CAll,3,Irrelevant/Noise
emo palan ki jankari dai,3,Unclassified
availbility of quail,3,Animal Husbandry
ghar mai rake chaval mai kede ho gaye hai,3,Unclassified
Farmer apni crop other state me bechane ke bare me jankari chahta hain,3,Unclassified
asked about rearing of emu birds,3,Animal Husbandry
amu palan,3,Unclassified
INFORMATION REGARDING CONTROL LEAF EATING BEETLES IN ALMONDS,3,Animal Husbandry
Test Call,3,Irrelevant/Noise
murgi palan ke bare mein jankri de,2,Animal Husbandry
TO KNOWN ABOUT TRAINING OF POULTRY CULTIVATION,2,Animal Husbandry
bird eno cultivation ki jankari den,2,Unclassified
DISEASE OF DUCK,2,Animal Husbandry
murgi palan karna chhate hai,2,Animal Husbandry
aimu palan kerna hai,2,Unclassified
farming of duck,2,Animal Husbandry
farmer want to know about emu farming,2,Animal Husbandry
fish ke bare m jankari,2,Animal Husbandry
AVAILABILITY OF CHICKS,2,Animal Husbandry
ASKING ABOUT SUGGESTION TO INCREASE MILK OF MILK,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF APHIDS IN BELL PEPPER,2,Unclassified
INFORMATION REGARDING  SOWING SEASON OF AONLA,2,Unclassified
TEst CAll,2,Irrelevant/Noise
connect  to leval-2,2,Unclassified
asked for hen cultivation subsidy,2,Animal Husbandry
HOW TO IMPROVE MILK OUR BUFFALO,2,Animal Husbandry
information regarding new plan of govt,2,Unclassified
INFORMATION REGRDING WHICH INSECTICIDE AFTER CONTAF USED IN APPLE TREES AT PEAT SIZE STAGE,2,Crop Protection & Inputs
gives contact no of emu rfarmer association pune,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF ROOT ROT IN BHINDI,2,Crop Protection & Inputs
to know about the rain fall status in durg dist ,2,Weather & Climate
information about rabit rearing,2,Unclassified
DISEASE OF POULTRY,2,Animal Husbandry
information about emu farm,2,Animal Husbandry
emu bird farming,2,Animal Husbandry
CALL DIS,2,Irrelevant/Noise
ASKED ABOUT CULTIVATION PRACTICES OF CHICKEN,2,Animal Husbandry
INFORMATION REGARDING CONTROL CATERPILLER IN BLACK GRAM,2,Unclassified
murgi palan ki jankari,2,Animal Husbandry
kisan call center kai barai mai jankari dai,2,Irrelevant/Noise
ASKED ABOUT PREVENTIVE MEASURES OF GILL ROT DISEASE IN CARPS,2,Crop Protection & Inputs
ASKING ABOUT SOLUTION FOR SUDDEN DEATH OF GOATS,2,Animal Husbandry
ASKING FOR THE COMPONENTS REQUIRED FOR BIO GAS PLANT GOBAR GAS,2,Unclassified
khargos palan ke bare mein jankari chahiye,2,Unclassified
pashu mela uttrakhand mai kaha lagta hai,2,Animal Husbandry
phalo ko kis rasayan se pakaya jata hai,2,Unclassified
 FARMER WANTS INFORMATION ABOUT   COW HAS FEVER HAVING REDDISH EYES,2,Animal Husbandry
INFORMATION REGARDING  CONTROL ROOT ROT IN APPLE,2,Crop Protection & Inputs
chicken,2,Animal Husbandry
phalo ko kaise pakaya jata hai,2,Unclassified
availbility of poultry,2,Animal Husbandry
 INFORMATION REGRDING SHORTAGE OF DAP,2,Crop Protection & Inputs
duck is not lay eggs,2,Animal Husbandry
HOW TO CONTROL WOOLY APHID IN APPLE ORCHARD ,2,Horticulture
INFORMATION REGARDING CUT WORM IN SOIL,2,Crop Protection & Inputs
pashu ka dudh nahi aa raha hai,2,Animal Husbandry
INFORMATION REGARDING HOW TO TEST BORDEAUX MIXTURE ,2,Irrelevant/Noise
asked about emu birds,2,Animal Husbandry
asked about emu bird,2,Animal Husbandry
asked about emu birds  available places,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF RATS IN FIELD ,2,Unclassified
no of poultry farm,2,Animal Husbandry
PANT NAGAR KISSAN MELA KAB SE KAB TAK HAIN,2,Unclassified
INFORMATION REGARDING BEE- KEEPING ,2,Animal Husbandry
CONTACT NO OF POULTRY FARM,2,Animal Husbandry
related emu,2,Animal Husbandry
vellore veterinary dept contact no,2,Animal Husbandry
INFORMATION ABOUT EMU,2,Animal Husbandry
poultry farming,2,Animal Husbandry
about emu bird rearing,2,Animal Husbandry
AVAILABILITY OF BANRAJ CHICKS,2,Animal Husbandry
INFORMATION REGARDING SOWING TIME OF ALOEVERA,2,Unclassified
emu bird rearing,2,Animal Husbandry
poutry form information,2,Unclassified
information regarding give me vet contect no ,2,Unclassified
HOW TO IMPROVE MILK OUR BUFFALO ,2,Animal Husbandry
pashu dudh kam de raha hai,2,Animal Husbandry
INFORMATION REGARDING SHORTAGE OF DAP ,2,Crop Protection & Inputs
hatching period of turkey,2,Animal Husbandry
tirunelveli veterinary dept contact no,2,Animal Husbandry
quail availbility,2,Animal Husbandry
INFORMATION ABOUT DUCKERY CULTIVATION,2,Animal Husbandry
chicken availbility,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF LEAF SPOT IN MARIGOLD,2,Unclassified
INFORAMTION REGARDING  CONTROL OF APPLE LEAF MINER,2,Horticulture
TO KNOW ABOUT THE RAINFALL IN OUR DISTRICT,2,Weather & Climate
CONTACT NUMBER OF DUCK FARM,2,Animal Husbandry
Emu bird rearing,2,Animal Husbandry
information about EMU,2,Animal Husbandry
WHERE I CONTACT FOR ZIPSUM,2,Unclassified
INFORMATION REGARDING CONTROL OF BLIGHT IN BLACKGRAM,2,Crop Protection & Inputs
INFORMATION REGARDING CONTROL OF MITES IN HONEY BEE ,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF WEED FROM OPEN FIELD,2,Crop Protection & Inputs
IN4MATION ON EMMU REARING,2,Unclassified
INFORMATION REGARDING CONTROL OF COLLAR ROT DISEASE IN APPLE TREE ,2,Crop Protection & Inputs
 INFORMATION REGARDING CONTROL OF TERMITE IN LAWN ,2,Unclassified
cont no of emu rearing centre of pune,2,Animal Husbandry
INFORMATION REGARDING TO WHOM CONTACT TO GET SUBSCIDE ON IRRIGATION PUMP SET ,2,Unclassified
emoo ki jankari,2,Unclassified
ASKING ABOUT THE SUBSIDY RATE OF ASSAM AGRICULTURAL COMPETITIVENESS PROJECT TO GET POWER TILLER,2,Government Schemes
name of chicken breeds,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF MITES IN HONEY BEE,2,Animal Husbandry
Asked about EMU rearing,2,Animal Husbandry
WHAT IS KISAN CALL CENER,2,Irrelevant/Noise
 INFORMATION REGARDING CONTROL OF PUMPKIN BEETLE IN BOTTLEGOURD,2,Animal Husbandry
SPECIES OF DESHI CHIKEN,2,Unclassified
murgi palan ki jankari digia,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF TERMITE IN LAWN ,2,Unclassified
IN4MATION ON APICULTURE,2,Unclassified
INFORMATION REGARDING CONTROL OF FOOT ROT IN GRAPE,2,Crop Protection & Inputs
emu palan ke jankari,2,Animal Husbandry
ABOUT EMU FARMING,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF NESTS OF THE ANTS ,2,Unclassified
INFORMATION REGARDING CONTROL OF BHANG FROM OPEN FIELD,2,Unclassified
EMU PALAN,2,Animal Husbandry
INFORMATION REGARDING CONTROL OF MINOR INSECTS IN PAPAYA,2,Crop Protection & Inputs
how to do emu farming ,2,Animal Husbandry
BANARAJ CHICKEN AVAILABILITY,1,Animal Husbandry
turkey rearing details,1,Animal Husbandry
puthukottai veterinary number -,1,Animal Husbandry
tell me about emu farming,1,Animal Husbandry
WHERE I CONTACT FOR TRAINING ON POULTRY PRODUCTION,1,Animal Husbandry
BEE KEEPING,1,Animal Husbandry
I WANT TO IMU BIRDS RELATED KNOWLEDGE,1,Unclassified
BANARAJ CHICKEN AVAILABILY,1,Animal Husbandry
pudukottai veterinary dept contact no,1,Animal Husbandry
CONTACT NO OF EMU FARM,1,Animal Husbandry
vankozhli egg availablity  contact,1,Unclassified
inforation regarding emu bird,1,Animal Husbandry
how to rear chik,1,Unclassified
goat farming  contact,1,Animal Husbandry
TELL ME IMU RELATED KNOWLEDGE,1,Unclassified
asking about the incubator,1,Unclassified
TELL ME CONTECT FOR EMU FARMING,1,Animal Husbandry
polutry production,1,Unclassified
emu farm government support,1,Animal Husbandry
WHERE I CONTACT FOR EMU CULTURE,1,Animal Husbandry
I WANT TO IMU BIRD RELATED KNOWLEDGE,1,Unclassified
asaking about chick ingupator,1,Animal Husbandry
asking about the hen production,1,Animal Husbandry
Veterinary University and training center in coimbatore,1,Animal Husbandry
poultry farming details  subsidy,1,Animal Husbandry
INFORMATION REGARDING EMU,1,Animal Husbandry
emu details,1,Animal Husbandry
veterinary research station number,1,Animal Husbandry
can we use agriculture manure of egg waste,1,Crop Protection & Inputs
TELL ME ABOUT EMU BIRD RAIRING,1,Animal Husbandry
information regarding EMU,1,Animal Husbandry
information regarding to emu farming,1,Animal Husbandry
asking about the incubation details,1,Unclassified
poultry development corporation contact information,1,Animal Husbandry
EGG PRODUCTION IN CHICKEN,1,Animal Husbandry
Contact number of poultry farm,1,Animal Husbandry
starting poultry farm,1,Animal Husbandry
swan hacthing period,1,Animal Husbandry
maximum no of  eggs laid by swan,1,Animal Husbandry
poultry availbility,1,Animal Husbandry
Poultry farm contact number,1,Animal Husbandry
quail-for laying eggs,1,Animal Husbandry
to get quail,1,Animal Husbandry
phone no of poultry farm,1,Animal Husbandry
Tell me about emu farming,1,Animal Husbandry
poultry farm number,1,Animal Husbandry
vaccination in poultry,1,Animal Husbandry
hacthing period of turkey,1,Animal Husbandry
how many eggs laid by emu,1,Animal Husbandry
quail avilbility,1,Animal Husbandry
auail availbility,1,Unclassified
wheher quail farming is prohibited,1,Animal Husbandry
Tarki variety chicken details,1,Animal Husbandry
Chicken Waste manangement,1,Animal Husbandry
piegon avilbility,1,Unclassified
About Parrrot disease ,1,Crop Protection & Inputs
Give the information about emu farming,1,Animal Husbandry
contact number of duck farm,1,Animal Husbandry
egg availability,1,Unclassified
poultry rearing,1,Animal Husbandry
about chik,1,Unclassified
about emu bird availability,1,Animal Husbandry
cultivation practices,1,Unclassified
contact no of duck farm,1,Animal Husbandry
POULTRY AVAILBILITY,1,Animal Husbandry
kozhippen,1,Unclassified
incubator availbility,1,Unclassified
CONTACT NO OF DUCK FARM,1,Animal Husbandry
availbility of chicken,1,Animal Husbandry
availbility of duck,1,Animal Husbandry
contact number of emu farm,1,Animal Husbandry
QUAIL LAYING TIME,1,Animal Husbandry
purchsing a incubator for 50 hens,1,Animal Husbandry
how to market emu egg,1,Animal Husbandry
poultry development corporation contact info,1,Animal Husbandry
Where Quail chicks are available,1,Animal Husbandry
availbility quail for farming,1,Animal Husbandry
emu farm contact number,1,Animal Husbandry
training for poultry farming,1,Animal Husbandry
vaccination time of day old chicken,1,Animal Husbandry
hen not laying egg,1,Animal Husbandry
contact number of  poultry farm,1,Animal Husbandry
hacthing period of chicken,1,Animal Husbandry
Information on EMU rearing,1,Animal Husbandry
CHIKEN RATE,1,Market & Prices
turky information,1,Unclassified
poutry information,1,Unclassified
info abt rr birds,1,Unclassified
ASKED ABOUT POULTRY FARM,1,Animal Husbandry
weather cond,1,Weather & Climate
info abt  deshi poultry breed,1,Animal Husbandry
varieties,1,Unclassified
eggs market,1,Market & Prices
info abt subcidy on poultry,1,Animal Husbandry
What farming practices of Emu Farming,1,Animal Husbandry
info abt cotrant farming of poultry farm,1,Animal Husbandry
ABOUT POLTRY FARM SUBSIDY,1,Government Schemes
DUCK DISEASE,1,Animal Husbandry
LICE IN HEN,1,Animal Husbandry
EMU BIRD PROJECT,1,Animal Husbandry
GROWTH,1,Unclassified
DUCKERY FARMING,1,Animal Husbandry
DUCK EGG,1,Animal Husbandry
GALL MIDGE ATTACK IN RICE,1,Unclassified
DUCKERY,1,Animal Husbandry
LAYERS 8MTH OLDNOT LAYING EGGS,1,Unclassified
EMU BIRDS,1,Animal Husbandry
EMU PROJECT MANAGENT,1,Animal Husbandry
rabbit farming information,1,Animal Husbandry
Tell me about rabbit farming,1,Animal Husbandry
Dear sir your query was-About Emu farming ,1,Animal Husbandry
farmer want to know about the duck forming,1,Animal Husbandry
give me information about quails farming,1,Animal Husbandry
farmer want to kmow about the emu farming,1,Animal Husbandry
GIVE THE INFORMATION ABOUT EMU FARMING,1,Animal Husbandry
what is Emu farming and Details,1,Animal Husbandry
farming practices of apiculture,1,Unclassified
give me information about fishries,1,Animal Husbandry
Where I contact for training of farming of emu ,1,Animal Husbandry
poultry apppaliences,1,Animal Husbandry
Q Poultri farm ,1,Unclassified
Q Give  Emu information,1,Animal Husbandry
Duck reproduction information,1,Animal Husbandry
EMU FECONDITY,1,Animal Husbandry
About Emu farming ,1,Animal Husbandry
how to do avian of ostrich,1,Animal Husbandry
i wnat to information about emu farming,1,Animal Husbandry
asking about vetnary trainning,1,Unclassified
moisture problem at poltry farm,1,Unclassified
birds cultural activities,1,Unclassified
information about rabbit farming,1,Animal Husbandry
info vaccination,1,Unclassified
Information about EMU Farming,1,Animal Husbandry
mer ki ghass kaise khatam kare,1,Unclassified
pashudhan samasya kendra ka kya number hai,1,Animal Husbandry
RAJMA KE LAGANE KA SAME,1,Unclassified
POPULAR KE KHET ME URBARK KITNI MATRA ME DALE,1,Unclassified
Emo farming ke bare mai bataye,1,Unclassified
pls tell me emu farming,1,Animal Husbandry
WHERE I CAN GET INFORMATION ABOUT EMU FARMING,1,Animal Husbandry
TELL ME I WANT TO POULTRY FARMING,1,Animal Husbandry
pls tell me contect number IVRI,1,Irrelevant/Noise
pls tell me about emu bird,1,Animal Husbandry
i want to boiler chiks,1,Unclassified
contect no of west bengal dairy bourd,1,Unclassified
availability of eve bird,1,Unclassified
contact number for livestock Research station,1,Animal Husbandry
asked about market information of emu birds,1,Animal Husbandry
asked about  emu birds,1,Animal Husbandry
availability of giri raja hens,1,Animal Husbandry
asked about emubirds,1,Animal Husbandry
asked about poultry farm information,1,Animal Husbandry
ASKING ABOUT BROILER FARMING,1,Animal Husbandry
ASKING ABOUT THE CONSTRUCTION OF POULTRY SHED,1,Animal Husbandry
ASKING ABOUT EMU BIRDS AVAILABILITY AND FARMING,1,Animal Husbandry
Asking about the treatment of poultry,1,Animal Husbandry
ASKING ABOUT THE SYMPTOMS OF RANIKHET DISEASE IN POULTRY,1,Animal Husbandry
chicken -layer,1,Animal Husbandry
contect no of west bengal animal husbandry department no,1,Animal Husbandry
emu ke palan se sambandhit puri jankari,1,Animal Husbandry
EMU KE MILNE KA ADDRESS,1,Animal Husbandry
nakli kissan call center ke bare mai puchaa,1,Irrelevant/Noise
khali khet mai kharpatvar ke liye kya dale,1,Unclassified
pusp vigyan kendra pantnagar ka kya number hai,1,Irrelevant/Noise
sarson ka bij pantnagar mai kaha milega,1,Unclassified
chirag ngo ka kya number hai,1,Irrelevant/Noise
bater palan ke baare me bataye,1,Animal Husbandry
Poltry ke bare mai purn jankari de,1,Unclassified
phalo ko kis rasayan se pakaya gata hai,1,Unclassified
selective herbicide mai root application vali kaun si hai,1,Crop Protection & Inputs
kanpur university ka toll free number kya hai,1,Irrelevant/Noise
fasloo ke mitra keet kya hota hai,1,Unclassified
barish hone ki kya sambhavnaa hai,1,Unclassified
khet mai nil gay ho rahi hai kya kare,1,Unclassified
RAJMA KE LIYE FERTILIZERS BATAYE,1,Crop Protection & Inputs
malta ke pedper malta sad ja rahe hai pathiya pili ho rahi hai,1,Unclassified
adrak sad rahi hain,1,Unclassified
SORGHUM TOXICITY  KYA HOTA HAI,1,Unclassified
mira 71 kya hai kripya batane ka kast kare,1,Unclassified
barseem ka sowing season kiya hai,1,Unclassified
krishi ki masik patrika kaha se le,1,Unclassified
POPLER ke varieties BATAYEE KYA HAI,1,Unclassified
popular ke ped mai kede ched karne ke bad ped se burada nikal raha hai,1,Unclassified
sagoun ke ped lambai 25 fit ka hai mota nahi ho raha hain kya kare,1,Unclassified
Tuwell ke liye Bijli ka cinection krana hai,1,Unclassified
GIVE ME CONTCT NO OF ANIMAL HUSBENDERY DEPT,1,Animal Husbandry
details about tarkey production,1,Unclassified
contact number for livestock research station,1,Animal Husbandry
veterinary details,1,Animal Husbandry
muripapalan chata hu,1,Unclassified
murgi palan ke bare bate,1,Animal Husbandry
POLTRY FARM ME GARMI ME BACCHE MAR JATE HAI,1,Unclassified
emu farming ki jankari chahiy,1,Animal Husbandry
MURGI PALAN KARNA HAI,1,Animal Husbandry
INFORMATION TO POLTRIFORM,1,Unclassified
KAKDI ME KIDA LAGA HAIN KOUN SI DAVA KA SPRAY KARE ,1,Unclassified
Poultry farm kholn hain mans ke liye koun si varitey acchi hain bataye,1,Animal Husbandry
TURKEY HACHTING PERIOD - 28 DAYS,1,Animal Husbandry
kya urea ko garam pani mai ghol sakte hai,1,Crop Protection & Inputs
poultry pala per kitnee sabseedi hai,1,Animal Husbandry
pantnagar fish department ka kya number hai,1,Animal Husbandry
murgi palan ke liye lone lena hai,1,Animal Husbandry
popular ki kheti jankari dijiyee,1,Unclassified
Dhaincha ka buwai ke samay kay hai seed ke leye,1,Unclassified
adrak pili ho rahi hain kya kare,1,Unclassified
TELL ME CONTACT NO IJJAT NAGAR,1,Irrelevant/Noise
TELL ME CONTACT NO OF CARI,1,Irrelevant/Noise
Information about planting mango trees....?,1,Horticulture
Information about the method of planting banana....?,1,Horticulture
Transplanting of mango plant,1,Horticulture
arvi ka seed rate kya hai,1,Market & Prices
asked about emu,1,Animal Husbandry
contact no of hacthery,1,Irrelevant/Noise
Q govt schemes,1,Government Schemes
information to rarring rabit,1,Unclassified
want contact no for puchasing chicks,1,Animal Husbandry
Books For Poultry,1,Animal Husbandry
contact number,1,Irrelevant/Noise
loan,1,Government Schemes
ABT GOVT SCHEAMS ,1,Unclassified
poultry farming contact number,1,Animal Husbandry
ADRESS OF POULTRY FARM ,1,Animal Husbandry
ASKED FOR THE CONTACT NO OF EGG HATCHING CENTRE,1,Irrelevant/Noise
tell me about poultry,1,Animal Husbandry
honey bees center in pune address,1,Animal Husbandry
poulry,1,Unclassified
egg laying ,1,Unclassified
availity of birds,1,Unclassified
info abt vaccination of poultry breed,1,Animal Husbandry
EMU CULTIVATION,1,Animal Husbandry
OSTRICH FARMING,1,Animal Husbandry
PARROT,1,Unclassified
BANKS NOT FINANCING POULTRY FARMING,1,Animal Husbandry
what is give you information catagery of poultry,1,Animal Husbandry
CITRUS AFFECTED BY BLIGHT,1,Crop Protection & Inputs
TELL ME INFORMATION ABOUT BATER,1,Animal Husbandry
Ask About Poultry Farm Scheme ,1,Animal Husbandry
HOW TO FIND OF EMU,1,Animal Husbandry
EMU PALAN BATA DE,1,Animal Husbandry
satur murg palna chta hu,1,Unclassified
Kya suturmurga palan kiya ja sakta hai,1,Unclassified
emu palan ke bare bataye,1,Animal Husbandry
poultary ke lia subsity kaha se milegi,1,Unclassified
emu palan karna hai,1,Animal Husbandry
chiken khan nahi kha rahi hai,1,Unclassified
emu,1,Animal Husbandry
madhumakhi ke 1 dibbe se kitna sahad mil jata hai,1,Unclassified
POLTRY QUIRY,1,Unclassified
what process to emu farming ,1,Animal Husbandry
khet ki urbara sakti kaise barayee,1,Unclassified
EMU PALAN KRNA HAI,1,Animal Husbandry
bater palan ki jankari,1,Animal Husbandry
Bee palne ke bare me janna hai,1,Animal Husbandry
emu palan ke bare me,1,Animal Husbandry
EMU FARMING KE BARE ME BATAYE,1,Animal Husbandry
TRAINING OF POLTRY FARM,1,Unclassified
poultry farming training karna hai,1,Animal Husbandry
emu palan ke baare me bataye,1,Animal Husbandry
POLTRAY FORM KHOLNA CHAHATE HAI,1,Unclassified
information of mentha,1,Unclassified
batakh palne ke liye area ki tana ho,1,Unclassified
India me ketane kvk work kar rahe hai,1,Unclassified
murgipalan karna hai,1,Animal Husbandry
thanjavur veterinary contact no,1,Animal Husbandry
asking about emu farm making detrails,1,Animal Husbandry
quail production training,1,Animal Husbandry
emu farm details,1,Animal Husbandry
rajapalayam veterinary dept contact no,1,Animal Husbandry
details about Duck rearing,1,Animal Husbandry
asking emu rearing,1,Animal Husbandry
detail for turkey hatching period,1,Animal Husbandry
asking about poultry ingupator,1,Animal Husbandry
detail for incubator- chiks,1,Unclassified
chicken rearing training details,1,Animal Husbandry
asking about the emu production,1,Animal Husbandry
emu palan,1,Animal Husbandry
marketing for turkey,1,Animal Husbandry
turkey incubation period,1,Animal Husbandry
