QueryText,Count,Proposed_Category
drum stick planting spacing,1,Unclassified
shoot and fruit borer in brinjal,1,Crop Protection & Inputs
chicken rearing details,1,Animal Husbandry
sugarcane inter cropping,1,Unclassified
availability of chicken,1,Animal Husbandry
detail for chicks rearing,1,Animal Husbandry
veterinary department in thiruvannamalai,1,Animal Husbandry
kaadai farm making details  contact,1,Unclassified
ASKING ABOUT VETY PROBLEM,1,Unclassified
ASKING ABOUT TREATMENT OF WORMS INFESTATION IN DUCK,1,Animal Husbandry
poultry farm making details,1,Animal Husbandry
hen for egg laying,1,Animal Husbandry
emu palan karna hia,1,Animal Husbandry
EK MURGI KITNE DIN BAD ANDA DETI HAI,1,Animal Husbandry
emu ek sal me kitne egg deti hai,1,Animal Husbandry
ASKED ABOUT CHICKEN PRODUCTION BOOKS,1,Animal Husbandry
ANT,1,Unclassified
CULTIVATION PRACTICE OF SWAN,1,Animal Husbandry
TO CONTROL OF BLIGHT IN CICUS,1,Crop Protection & Inputs
about diary,1,Unclassified
poltry production ke market kya kre,1,Market & Prices
QBATERQUAIL rearing ,1,Unclassified
give me information about fishries ,1,Animal Husbandry
MURGE PALAN KARNA HAI,1,Unclassified
availablity of ammu birb,1,Unclassified
avine production ,1,Unclassified
source of HANAS batakh availability,1,Unclassified
ghar par cuha ho raha hai,1,Unclassified
aamu palan ke bare me jankare de,1,Unclassified
khet mai dub ghas ho rahi hai,1,Unclassified
kya kisan call center mai is samay vacancy hai,1,Irrelevant/Noise
ham aemu palan karana chate hai,1,Unclassified
batak kai bacha kaha sai mila gai,1,Unclassified
Emu prapti ka easthan batai,1,Animal Husbandry
Emo palan kaise kare,1,Unclassified
KHET MAI MOTHA HO RAHA HAI,1,Unclassified
bater farming information,1,Animal Husbandry
murgiyo  ko dast ho rahe he,1,Animal Husbandry
KRASHI CHINTAN ME BATER PALAN KE BARE ME LIKH A HE,1,Animal Husbandry
MURGE KI PROBLEM HAI,1,Unclassified
vater palan ki trenig lani hai,1,Unclassified
emu palan ki training ke bare me,1,Animal Husbandry
rabits palan ke bare me bataia,1,Unclassified
EMU PALAN KE BACHCHE KAHA MILEGE,1,Animal Husbandry
POLTRY FORM OPEN,1,Unclassified
murgi palan ke kia loan  ke bare me bataia,1,Animal Husbandry
badaK PALAN KE BARE JANANA CHATA HU,1,Unclassified
dane banane ki kya,1,Unclassified
emu khan se lai,1,Animal Husbandry
emupalan ke bare me jankari chahai,1,Animal Husbandry
Emu palan ki jankari,1,Animal Husbandry
murgi palan ke training kerna hai,1,Animal Husbandry
poltrycultur,1,Unclassified
Nahar nahi aa rahi hai,1,Unclassified
Bater palan se sambandhit jankari,1,Animal Husbandry
what is contact number and farming practices in emu farming in india,1,Animal Husbandry
infarmetion in emu birds,1,Animal Husbandry
emu kaha se milega,1,Animal Husbandry
eum pala ke bare me bataye,1,Unclassified
madhumakhi palan hetu jankari,1,Unclassified
emu palan ki jankari,1,Animal Husbandry
emu palan ki jankari chahi,1,Animal Husbandry
duck egg kam de rhe hai,1,Animal Husbandry
fish upar se kali pad rahi he,1,Animal Husbandry
battak ke bachcho ka rakhrakhab ki jankari,1,Unclassified
cari ka phone no chahiye,1,Irrelevant/Noise
murgi palan k liye training k liye kaha samperk karein,1,Animal Husbandry
MURGE PALAN KA LIYA UCHIT MARGDARSAN KARAY,1,Unclassified
chicken ki jankari,1,Animal Husbandry
pakshi anushandhan sansthan ka no batayen,1,Unclassified
MURGE PALAN KA BARAY ME BATAY,1,Unclassified
murgi palan ki training karna hai,1,Animal Husbandry
MURGE PALAN KE JANKARE,1,Unclassified
call dis,1,Irrelevant/Noise
murgi palan karna chahte hai,1,Animal Husbandry
batair palan ki jankari den,1,Unclassified
emu farming kaise ki jaye,1,Animal Husbandry
murgi palan ki janakari de ,1,Animal Husbandry
Murgi ke anus se kide aa rahe hai,1,Animal Husbandry
murgi palaln se related,1,Animal Husbandry
emo ki jankari den,1,Unclassified
MURGE PALAN KE TRANING KA LIYA BATAY,1,Unclassified
poultry palan ki training ki jankari,1,Animal Husbandry
CHOOJO ME GROWTH NAHI HO RAHI HAI,1,Unclassified
batak palan ki jankari,1,Unclassified
duck palan ki jankari den,1,Animal Husbandry
emu birds production ki jankari den,1,Animal Husbandry
eggs price of emu,1,Animal Husbandry
Asked about site selection for Poultry farming,1,Animal Husbandry
CONTACT ADRESS OF CENTRAL FARMBHUBANESWAR,1,Unclassified
FARMING OF POULTRY,1,Animal Husbandry
ADRESS OF POULTRY FARM IN KORAPUT DISTRICT,1,Animal Husbandry
hetching of poultry,1,Animal Husbandry
FARMING OF DUCK,1,Animal Husbandry
use of poultry beat,1,Animal Husbandry
AVAILABILITY OF DUCK,1,Animal Husbandry
AVAILABILITY OF DUCKS,1,Animal Husbandry
available of poultry chick,1,Animal Husbandry
MURGI KA TAPMAN KAISE PATA KARE,1,Animal Husbandry
IMPROPER GROWTH OF DUCKS,1,Animal Husbandry
BREEDS OF DUCKEGG PURPOSE,1,Animal Husbandry
DETAIL INFORMATION ABOUT EMU BIRD,1,Animal Husbandry
DETAIL INFORMATION ABOUT POULTRY CULTIVATION,1,Animal Husbandry
AVAILABLE OF CHICK,1,Animal Husbandry
AVAILABILITY OF GUNDURI CHICKS,1,Animal Husbandry
I WANT TO KNOW ABOUT POULTRY PRODUCTION,1,Animal Husbandry
WHERE I CONTACT FOR DETAIL INFORMATION ABOUT POULTRY PRODUCTION,1,Animal Husbandry
TELL ME INFORMATION OF INCUBATAR,1,Unclassified
EMU hen rearing,1,Animal Husbandry
duck cultivation ki jankari,1,Animal Husbandry
AVAILABILITY OF DUCKS CHICKS,1,Animal Husbandry
FARMER SEES INFORMATION ABOUT THE TRAINING AND PRUNING OF APPLE TREE,1,Horticulture
phoolo ki kheti karni hai,1,Unclassified
ASKING ABOUT THE CONTROL MEASURE TO CONTROL STORED GRAIN PEST INFESTATION IN STORING,1,Crop Protection & Inputs
ASKING ABOUT SOME MICRONUTRIENT NAME,1,Unclassified
ASKING ABOUT THE CONTROL MEASURE OF APHID,1,Unclassified
spacing for bamboo CROPS,1,Unclassified
PRE-EMERGENCE HERBICIDES IN VEGETABLES,1,Crop Protection & Inputs
FARMER WANTS INFORMATION ABOUT COW IS WEEK GIVING LESS MILK ,1,Animal Husbandry
NFORMATION REGARDING WHEARE I GET POULTRY TRAINING,1,Animal Husbandry
bhains ka sing tut gaya hai,1,Unclassified
TRAINING OF BEE KEEPING,1,Animal Husbandry
27-INFORMATION REGARDING SOWING TIME OF ASHWAGANDA,1,Unclassified
INFORMATION REGARDING CONTROL CATERPILLER IN BRINJAL,1,Horticulture
INFORMATION REGARDING CONTROL OF DIE BACK IN BOTTLE GOURD,1,Unclassified
INFORMATION REGARDING CONTROL OF ROOT ROT IN CHILLI,1,Crop Protection & Inputs
ASK ABOUT TRANING PROGRAMME ON ORNAMENTAL FISH CULTURE,1,Animal Husbandry
TELLING THAT HE WANTS TO PRESERVE HIS CUT FLOWERS TO KEEP FRESH FOR A PERIOD OF 15 DAYS HOW WOULD IT WILL BE POSSIBLE AND ASKING THE PREVENTIVE MEASURE FOR THE SAME,1,Horticulture
ASKING ABOUT APPLICATION OF LIME IN PEA,1,Unclassified
HOW MUCH SUBCIDES IN MICRO-IRRIGATIN SYSTEAM ,1,Unclassified
FRUIT PLANTS ARE AFFECTED BY LOW GROTH PROBLEM,1,Horticulture
TELL ME SOIL AFFECTED BY TERMITE,1,Crop Protection & Inputs
GOVT SCHEMES FOR BORE WELL,1,Government Schemes
  INFORMATION REGARDING CONTROL OF BHANG,1,Unclassified
WHERE BEE KEEPING BOX ARE SOLD,1,Animal Husbandry
SELF EMPLOYMENT THROUGH POULTRY FARMING,1,Animal Husbandry
tow know about the training program in mushroom ,1,Horticulture
to know about the honey prodution training ,1,Animal Husbandry
To know about the information of bsnl TOLL FREE NUMBER,1,Irrelevant/Noise
to know about the mushroom production ,1,Horticulture
to know about the wether report of durg dist ,1,Unclassified
to know about the rainfal staus in durg dist,1,Weather & Climate
to know abut the rainfall status in durg dist ,1,Weather & Climate
to know about the rainfall stuts in durg dist ,1,Weather & Climate
to know about the information of bater farm,1,Animal Husbandry
INFORMATION REGARDING BLACK RUST IN ALMOND,1,Unclassified
to know about the subsidy in repper ,1,Government Schemes
thanks call,1,Irrelevant/Noise
to know about the avability in mushroom spon ,1,Horticulture
to know about the soil test in feild ,1,Crop Protection & Inputs
to know about the contact information about emu bird farm,1,Animal Husbandry
to know abut the kisan creidit card ,1,Unclassified
to know about the avability of mushroom spon ,1,Horticulture
Farmar Testing call,1,Crop Protection & Inputs
Asking about pigery farming ,1,Animal Husbandry
ASKING ABOUT MANAGEMENT OF DUCK FARM,1,Animal Husbandry
HOW TO CONTROL LEAF SPOT IN BLACK GRAM,1,Unclassified
to know abut the rainfall staus in rajnadgaon dist,1,Weather & Climate
EK POTASIK URVARAK KA NAM,1,Unclassified
PHALO KO KAISE PAKAYA JATA HAI,1,Unclassified
AMONIOUM SULPHATE MAI SULPHATE KITNA HOTA HAI,1,Unclassified
PASHU KA GARVH NAHI THAR RAHA HAI,1,Animal Husbandry
KHET MAI MOLIBEDNUM KITNA DETE HAI,1,Unclassified
PHALO KO KAISE PAKATE HAI,1,Unclassified
PASHU KO KILNI HO RAHA HAI,1,Animal Husbandry
pashu ke sarir mai kilni ho raha hai,1,Animal Husbandry
pashu ka garvh nahi thar raha hai,1,Animal Husbandry
FERES SULPHATE KA SPRAY KAISE KARTE HAI,1,Unclassified
INFORMATINON ABOUT EMU BIRD,1,Animal Husbandry
GAJAR GHAS KA ROKTHAM KAISE KARTE HAI,1,Unclassified
PASHU KE SARIR MAI KILNI HO RAHA HAI,1,Animal Husbandry
PHALO KO KAUN SE RASAYAN SE PAKAYA JATA HAI,1,Unclassified
khet mai dimak laga hai,1,Unclassified
BROILER CHICKEN,1,Animal Husbandry
25  HA LAND KE LIYE KITNE PUMP SET KI JARURAT HAI WITH HOURSE POWER,1,Unclassified
ASKING ABOUT SOURCE OF GOOD BREED LAYER CHICKS FOR LAYER FARMING,1,Animal Husbandry
TEST CALL ,1,Irrelevant/Noise
asking about prepration of wormicompost,1,Unclassified
ASK ABOUT POULTRY FARM,1,Animal Husbandry
INFORMATION REGARDING SERICULTURE ,1,Unclassified
PASHU DUDH KAM DE RAHI HAI,1,Animal Husbandry
CONTACT NOOF EMU FARMER ASSOCIATION,1,Animal Husbandry
information about tarki bird,1,Unclassified
CONTACT NO FOR EMU REARING,1,Animal Husbandry
ASKING ABOUT SUPPLEMENTARY FEED FOR THE BETTER GROWTH LAYER CHICKEN,1,Animal Husbandry
MAINTENANCE OF CHICKENS,1,Animal Husbandry
INFORMATION ABOUT BANRAJ CHICKEN,1,Animal Husbandry
RANIKHET DISEASE OF POULTRY,1,Animal Husbandry
NAME OF DUCK,1,Animal Husbandry
chicken price,1,Animal Husbandry
BAMBOW PLANT KIS FAMILY KA HAI,1,Unclassified
Veterinary University and training center,1,Animal Husbandry
AGRI LOAN KAHA SE MILEGA,1,Government Schemes
To know about the rainfall in our district,1,Weather & Climate
Information regarding method of lemon transplanting ?,1,Horticulture
INFORAMTION REGARDING SUBSIDY OF PUMPSET ,1,Government Schemes
FARMER WANTS INFORMATION ABOUT THE KISAN CREDIT CARD ,1,Government Schemes
INFORMATION REGARDING CONTROL OF APHIDS IN KNOL-KHOL ,1,Unclassified
vaccination of chicken,1,Animal Husbandry
BEE KEEPING KE BOX KAHA SE MILEGEN,1,Animal Husbandry
bee keeping ki training kaha se len,1,Animal Husbandry
DUCK PALAN KARNA HAI JANKARI DEN,1,Animal Husbandry
to know about the contact no of agriculture eng ,1,Irrelevant/Noise
PASHU KA THAN PHAT RAHA HAI,1,Animal Husbandry
nomber of university,1,Unclassified
dissconected,1,Unclassified
contact no of central poultry development organizationmumbai,1,Animal Husbandry
WHERE AVAILABLE EMU CHICKS,1,Animal Husbandry
imu farm information,1,Unclassified
PRICE OF ONE EMU EGG,1,Animal Husbandry
PRICE OF ONE EGGS OF EMU,1,Animal Husbandry
what is the cost of a pair of EMU bird and when does it star egg laying,1,Animal Husbandry
training for imu rearing,1,Unclassified
INFORMATION ABOUT EMU FARM,1,Animal Husbandry
INFORMATIO ABOUT EMU REARING,1,Animal Husbandry
IN4MATION ON SERICULTURE,1,Unclassified
FARMER TOLD THAT WHERE HE GET POULTRY BIRD,1,Animal Husbandry
Information regarding EMU rearing,1,Animal Husbandry
WHERE AVILABLE BATER BIRD,1,Animal Husbandry
imu information for loan purpose,1,Government Schemes
information regarding EMU rearing and period of egg laying,1,Animal Husbandry
LIFE CYCLE OF EMU BIRD,1,Animal Husbandry
in4mation on emmu farming,1,Unclassified
information about emu farming,1,Animal Husbandry
INFORMATION ON TRAINING OF APICULTURE,1,Unclassified
INFORMATION ABOUT  BATER PALAN ,1,Animal Husbandry
GENERALLY WHEN DOES EMU GIVES EGGS,1,Animal Husbandry
information about EMU farming,1,Animal Husbandry
Asked regarding EMU rearing,1,Animal Husbandry
INFORMATION REGARDING KISSAN CRDIT CARD ,1,Unclassified
INFORMATION REGARDING PHONE NUMBER OF POULTRY OFFICEER ,1,Animal Husbandry
INFORMATION REGARDING WEATHER FORECAST ,1,Weather & Climate
INFORMATION REGARDING SUBSIDY OF TRACATOR ,1,Government Schemes
INFORMATION REGARDING TRAINING IN POULTRY ,1,Animal Husbandry
INFORMATION REGARDING POULTRY FARM ,1,Animal Husbandry
INFORMATION REGQARDING SUBSIDY OF TRACTOR ,1,Government Schemes
INFORMATION REGARDING SUBSIDY OF PUMP SET ,1,Government Schemes
INFORMATION REGARDING WEATHER REPORT IN JAMMU,1,Weather & Climate
INFORMATION REGARDING PHONE NUMBER OF BEE KEEPING EXPERT ,1,Animal Husbandry
FROM WHERE I CAN HAVE POULTRY CHICKENS ,1,Animal Husbandry
subsede on poultry,1,Animal Husbandry
Contact number of Niranam Duck farm,1,Animal Husbandry
give me information about emu farming,1,Animal Husbandry
INFORMATION ABOUT ENU BIRD,1,Unclassified
CONTACT NO OF EMU FAEMER ASSOCIATION,1,Animal Husbandry
emu can be servive in maximum temp,1,Animal Husbandry
IN4MATION ABOUT APICULTURE,1,Unclassified
LIFE SPAN OF EMU BIRD,1,Animal Husbandry
price of  emu one eggs,1,Animal Husbandry
contact no of cental hatchery centrekhadaki  pune,1,Irrelevant/Noise
CONT NO OF EMU REARING CENTER PUNE,1,Animal Husbandry
information about poultry training,1,Animal Husbandry
Can i get the contact number of RPF koovapady Ernakulam,1,Irrelevant/Noise
murgipalan karna chate hai hai,1,Animal Husbandry
bater palan karana hai jankari kaha se milegi,1,Animal Husbandry
eno bird kaha se milega,1,Unclassified
madu makhi palan karna chathe hai,1,Unclassified
emo bird ki jankari,1,Unclassified
farming of emo bird,1,Unclassified
contact no of emu farmer association,1,Animal Husbandry
pROBLEM RELATED WITH POULTRY,1,Animal Husbandry
MURGI SAMBANDHIT DIKKAT HAI,1,Animal Husbandry
WHERE IS AVAILABLE THE EMU BIRDS,1,Animal Husbandry
DISTANCE BETWEEN PLANT TO PLANT  ROW TO ROW,1,Unclassified
murgi palan ke bare mein jankari,1,Animal Husbandry
emu birds ki jankari,1,Animal Husbandry
CAN WE APPLY GLUCOSE IN DRINKING WATER OF CHICKEN,1,Animal Husbandry
hony bee k bare m jan kari,1,Animal Husbandry
INFORMATION ABOUT THE KISAN CREDIT CARD ,1,Government Schemes
INFORMATION REGARDING THE KISAN CREDIT CARD,1,Government Schemes
HOW TO CANTROL FRUIT FLY OF MALTA,1,Horticulture
me kimo palan karna chata hoon,1,Unclassified
ageri loan kaha se milega,1,Government Schemes
CONTROL OF STEM ROT IN BARSEEM ,1,Crop Protection & Inputs
INFORMATION REGARDING THE KISAN CREDIT CARD ,1,Government Schemes
AMU PAKSHI KE BARE ME  JANKARI,1,Unclassified
cultivation practices poultry,1,Animal Husbandry
farming of poultry,1,Animal Husbandry
to known about duck farming,1,Animal Husbandry
availability of duck,1,Animal Husbandry
govt schemes on farmhouse,1,Government Schemes
govt schemes on poultryfarm,1,Animal Husbandry
farming of austrich,1,Unclassified
farming of chicken,1,Animal Husbandry
DETAIL INFORMATION ABOUT DUCKERY CULTIVATION,1,Animal Husbandry
cultivation of duck farming,1,Animal Husbandry
information about emu birds,1,Animal Husbandry
madu makhi palanke samband m,1,Unclassified
asking about japanese quail rearing for meat purpose,1,Animal Husbandry
governmental scheme for it,1,Government Schemes
emu birds ka contect no,1,Animal Husbandry
murgi palaan ke bare me jankari,1,Animal Husbandry
cari bareilly ka phone no chahiye,1,Irrelevant/Noise
pachhi anusandhan ka cont no ,1,Unclassified
aimu palan ke bare mein jankari chahie,1,Unclassified
emu birds ki jankari den,1,Animal Husbandry
cultivation of emo bird ki jankari den,1,Unclassified
MURGI DANA PLANT KI JANKARI,1,Animal Husbandry
BIRD PEETING CENTER,1,Unclassified
information of emu farm,1,Animal Husbandry
ASKING ABOUT  THE DETAILS IN BROILER FARMING,1,Animal Husbandry
ASAKING ABOUT THE SOURCE OF GOOD BREED DUCKLINGS FOR DUCK FARMING,1,Animal Husbandry
ASKING ABOUT THE MANAGEMENT OF LAYER FARM,1,Unclassified
ASKING ABOUT CONSTRUCTION  OF POULTRY SHED,1,Animal Husbandry
ASKING ABOUT TREATMENT OF RED SPOT ON THE BROILER BODY SURFACE,1,Animal Husbandry
ASKING ABOUT TREATMENT OF DROUZINESS IN POULTRY,1,Animal Husbandry
ASKING AOUBT THE GOOD BREED OF CHICKEN FOR EGG LAYING,1,Animal Husbandry
ASKED ABOUT FRAGILITY OF THE FIRST BATCH OF EGGS OF KROILER,1,Unclassified
WANT TO USE LITTER IN FIELD,1,Unclassified
asking about emu,1,Animal Husbandry
ask about boilogigal,1,Unclassified
INFORMATION REGARDING SUBSIDY OF TRACTOR,1,Government Schemes
ask for poutry course in aau,1,Unclassified
ask for emu development farm,1,Animal Husbandry
Ask For Cotton yellowing,1,Unclassified
ask the no of vo,1,Unclassified
contect nimber of DHO,1,Unclassified
information regarding of rabbit palan training ,1,Animal Husbandry
information regarding EMU farming ,1,Animal Husbandry
he had put the eggs in fredige he wants to put it foe heating,1,Unclassified
weather,1,Weather & Climate
emu bird cultivation,1,Animal Husbandry
raring,1,Unclassified
asking about emu farming,1,Animal Husbandry
agri loan kaha se milega,1,Government Schemes
gende ki variety koun si acchi hai,1,Unclassified
emu bird ki jankari den,1,Animal Husbandry
NFORMATION REGARDING SOIL TEST ,1,Crop Protection & Inputs
INFORMATION REGARDING TRAINING OF VERMICULTURE ,1,Unclassified
SEED RATE OF BARSEEM ,1,Market & Prices
HOW TO CONTROL STORAGE PESTS IN RICE ,1,Crop Protection & Inputs
PLS TELL ME CONTECT NUMBER TRANNING CENTER IN UJJWA,1,Irrelevant/Noise
pls tell me emu bird,1,Animal Husbandry
plstell me duck farming advantage,1,Animal Husbandry
Vaccination schedule of broiler,1,Animal Husbandry
ASKING ABOUT TREATMENT OF WHITE DIARRHOEA IN PIGEON,1,Animal Husbandry
asked about turky birds information,1,Unclassified
asked about poultry farm,1,Animal Husbandry
Information reg honey bees,1,Animal Husbandry
asked about emu barids,1,Animal Husbandry
asked about emu rearing farm,1,Animal Husbandry
asked about egg activator availability,1,Unclassified
asked about emu birds availability for rearing,1,Animal Husbandry
9492672089asked about emu birds,1,Animal Husbandry
asking source of emu eggs,1,Animal Husbandry
Asked about emu birds rearing,1,Animal Husbandry
ASKING ABOUT SOURCE OF BAN RAJA BREED OF CHICKS,1,Animal Husbandry
Asked about Poultry Establishment Details,1,Animal Husbandry
ASKING ABOUT TREATMENT OF WHITE DIARRHOEA IN POULTRY,1,Animal Husbandry
INFORMATION REGARDING CONTROL OF TERMITE IN ROOM ,1,Unclassified
INFORMATION REGARDING WEATHER REPORT IN TOMORROW ,1,Weather & Climate
INFORMATION REGARDING SUBSIDY OF FERTILIZER ,1,Government Schemes
INFORMATION REGARDING WEATHER TODAY ,1,Weather & Climate
INFORMATION REGARDING HOW WE CAN COLLECT SOIL SAMPLE,1,Crop Protection & Inputs
apply glyco powder  poushtik ahar,1,Unclassified
bhains ke bayi kokh fool rahe haijugali karna band kar dia hai,1,Unclassified
1 INFORMATION REGARDING CONTROL OF MITES IN HONEY BEES,1,Animal Husbandry
INFORMATION REGRDING RECOMMENDED VARIETIES OF MAIZE,1,Unclassified
availability of banaraj,1,Unclassified
- FLEA BEETLE IN CUCUMBER,1,Animal Husbandry
INFORMATION REGARDING CONTROL OF ITCHING OF SKIN IN COW,1,Animal Husbandry
FARMER WANTS INFORMATION ABOUT   COW HAS FEVER HAVING REDDISH EYES,1,Animal Husbandry
 FROM WHERE I CAN HAVE THE POPULAR TREES,1,Unclassified
INFORMATION REGARDING CONTROL OF POWDEREY MILDEW IN APPLE TREE,1,Horticulture
meditional plant ki jankari,1,Unclassified
FARMER WANTS INFORMATION ABOUT   COW HAS FEVER HAVING REDDISH EYES FARMER WANTS INFORMATION ABOUT   COW HAS FEVER HAVING REDDISH EYES FARMER WANTS INFORMATION ABOUT   COW HAS FEVER HAVING REDDISH EYES FARMER WANTS INFORMATION ABOUT   COW HAS FEVER HAVING REDDISH EYES ,1,Animal Husbandry
HOW TO CONTROL STEM BORER IN APRICOT ,1,Crop Protection & Inputs
FARMER SEEKS INFORMATION ABOUT THE CONTROL STEM ROT IN BOTTLE GOURD,1,Crop Protection & Inputs
INFORMATION REGARDING CONTROL OF WALNUT WEEVIL,1,Unclassified
Kaya abhi neem ki cating kar sakete hain,1,Unclassified
how to cantrol insect in couliflower,1,Crop Protection & Inputs
phalo ko kaun se rasayan se pakaya jata hai,1,Unclassified
INFORMATION ABOUT WHERE CAN GET BEE BOX,1,Animal Husbandry
INFORAMTION REGARDING  CONTROL OF ROOT ROT DISEASE IN APPLE TREE,1,Crop Protection & Inputs
bhains ki ankho se pani gir rahe hai,1,Unclassified
INFORMATION REGARDING WEATHER TODAY NIGHT,1,Weather & Climate
  INFORMATION REGARDING CONTROL OF CUT WORM IN SOIL,1,Crop Protection & Inputs
ASKED ABOUT REMADIES TO PREVENT FIN AND TAIL ROT DESEASE THAT OCCURED IN HIS POND,1,Crop Protection & Inputs
MUSHROOM KI TRAINING KAHA SE MILEGI,1,Horticulture
TERMITES PROBLEMS IN TEAK,1,Unclassified
INFORMATION REGARDING CONTROL OF CUT WORM IN BRINJAL,1,Horticulture
-NFORMATION REGARDING WHEARE I GET POULTRY TRAINING,1,Animal Husbandry
TELLING THAT THE LEAVES OF HIS ORANGE TREES ARE TURNING YELLOW AND GETTING DROP SO ASKING THE PREVENTIVE MEASURE FOR THE SAME,1,Unclassified
WHICH INSECTICIDE IS SPRAY DURING FLOWERING STAGE,1,Crop Protection & Inputs
INFORMATION REGARDING CONTROL OF POWDEREY MILDEW IN GRAPE VINE ,1,Unclassified
INFORMATION REGARDING CONTROL OF POPULAR LEAF DEFOLIATOR OF LEAF WEBBER ,1,Unclassified
ghar me gay ka poushtik ahar kaise taair kare-dana-40kggehun ka chokar,1,Unclassified
1 ha mai kitni nali hoti hai,1,Unclassified
 HOW TO ERADICATE GRASS IN AN OPEN FIELD,1,Unclassified
INFORMATION REGARDING CONTROL OF DOWNEY MILDEW IN BOTTLEGOURD,1,Unclassified
HOW TO CONTROL PIN SIZE BLACK SPOT IN APPLE,1,Horticulture
INFORMATION REGARDING FRUIT BORER IN BHINDI,1,Crop Protection & Inputs
ASKING ABOUT THE PROCEEDURE TO AVAIL KISAN CREDIT CARD,1,Government Schemes
ASKING THAT HOW TO GET CROP LOAN FROM BANK,1,Government Schemes
hadda beetle in bottle gourd,1,Animal Husbandry
ASKING THAT WHERE SOIL TESTING CAN BE DONE IN HIS DISTRICT,1,Crop Protection & Inputs
ASKING ABOUT THE CONTROL MEASURE OF TRUNK BORER,1,Crop Protection & Inputs
ASKING FOR THE CONTROL MEASURE TO CONTROL APHIDS AND CATERPILLARS IN HIS RADISH CULTIVATION DONE IN A LAND OF 3 BIGHA,1,Unclassified
soil treatment ke bare me jankari,1,Crop Protection & Inputs
where can get bee box,1,Animal Husbandry
TEST  CALL,1,Irrelevant/Noise
agriloan kaha se milega,1,Unclassified
TEst Call,1,Irrelevant/Noise
gfh,1,Unclassified
pls tell me advantage of quail farming,1,Animal Husbandry
asking about the construction of broiler shed  for farming,1,Animal Husbandry
 INFORMATION REGARDING TRANING OF VERMICULTURE,1,Unclassified
information about fishery,1,Animal Husbandry
subsidy to grow mulberry,1,Government Schemes
name of the institute where kadaknath chiken avalable,1,Unclassified
information related weather condition in Nashik,1,Weather & Climate
asked about emu raring,1,Animal Husbandry
Information regarding Apiculture,1,Unclassified
information about the EMU rearing,1,Animal Husbandry
Emu Bird Price Couple,1,Animal Husbandry
emu egg price,1,Animal Husbandry
Egg production Deshi bird,1,Unclassified
I want to start a Poultry farming so Is there any form of assistance which I can afford to start,1,Animal Husbandry
about emu,1,Animal Husbandry
FARMER WANTS INFORMATION ABOUT   COW HAS FEVER HAVING REDDISH EYES ,1,Animal Husbandry
INFORMATION REGARDING PLANTING DISTANCE OF ALOEVERA ,1,Unclassified
ASKING ABOUT TREATMENT OF REPEAT BREEDING IN COW,1,Animal Husbandry
PASHU KA GARVH NAHI TAHAR RAHA HAI,1,Animal Husbandry
HOW TO CONTROL DOWNEY MILDEW DISEASE ON CUCUMBER IN GREEN HOUSE ,1,Crop Protection & Inputs
HOW MANY EFECIENCY OF POWER TILOR,1,Unclassified
information regarding weather today,1,Weather & Climate
INFORMATION REGARDING CONTROL OF CATTERPILLAR IN KNOL-KHOL ,1,Unclassified
INFORMATION REGARDING CONTROL OF NESTS OF THE ANTS,1,Unclassified
IFORMATION REGARDING WHEARE I GET POULTRY TRAINING,1,Animal Husbandry
control gandhi insect,1,Crop Protection & Inputs
INFORMATION REGARDING HOW MUCH SBSIDY ON GREEN HOUSE ,1,Unclassified
INFORAMTION REGARDING CONTROL OF APPLE ORCHARD IN WEED,1,Crop Protection & Inputs
INFORAMTION REGARDING  CONTROL OF ROOT ROT DISEASE IN APPLE TREE ,1,Crop Protection & Inputs
Ghar mein paudho mein deemak lag rahi hai,1,Unclassified
pashu ke sarir mai kilni lag raha hai,1,Animal Husbandry
termite problem in agricultural field,1,Unclassified
bhains ke muha se lar gir rahe hai,1,Unclassified
INFORMATION REGARDING CONTROL OF CUT WORM IN POPULAR TREE ,1,Unclassified
 INFORMATION REGARDING RECOMMENDED FERTILIZER DOSE FOR 8 YEARS OLD APPLE ORCHARD ,1,Crop Protection & Inputs
INFORMATION REGARDING  CONTROL MITES ON APPLE ORCHARD,1,Horticulture
INFORMATION REGARDING RECOMMENDED FERTILIZER DOSE FOR 7 YEARS OLD APPLE ORCHARD ,1,Crop Protection & Inputs
where get loan for poultry,1,Animal Husbandry
PANTNAGAR ME MELA KAB SE HAIN,1,Unclassified
